Date,NIFTY50
2000-01-03,
2000-01-04,0.02920487375957803
2000-01-05,-0.02617928846036499
2000-01-06,0.01366085975686171
2000-01-07,-0.002658259149357023
2000-01-10,0.01218000371908512
2000-01-11,-0.03701889218898313
2000-01-12,0.03325914149443565
2000-01-13,-0.002092565238798527
2000-01-14,0.0008326137905512176
2000-01-17,-0.006871052226159358
2000-01-18,-0.003040456689004656
2000-01-19,0.01752038339453521
2000-01-20,-0.02064409578860449
2000-01-21,0.012179126850290434
2000-01-24,-0.0043193878810317
2000-01-25,-0.016856717897868023
2000-01-27,0.011031265758951081
2000-01-28,-0.0029927052808780275
2000-01-31,-0.033081108123319325
2000-02-01,0.0021342646488164974
2000-02-02,0.024846724749919336
2000-02-03,0.006234256926952231
2000-02-04,0.0011577695725639714
2000-02-07,0.023034849195186613
2000-02-08,0.015978247586459826
2000-02-09,0.016178018343106393
2000-02-10,0.012754120675879665
2000-02-11,0.02618045815801784
2000-02-14,-0.006548974943052399
2000-02-15,-0.024047004872456368
2000-02-16,0.005021878946286362
2000-02-17,0.018117000759745094
2000-02-18,-0.013948682624418729
2000-02-21,0.020782396088019572
2000-02-22,-0.008240661534074767
2000-02-23,-0.024524884275897718
2000-02-24,0.020985616599858536
2000-02-25,-0.012442263279445753
2000-02-28,0.007074161770294296
2000-02-29,-0.039331224057356784
2000-03-01,0.03498912255257447
2000-03-02,-0.009429555672330281
2000-03-03,-0.023901447054316072
2000-03-06,0.01962560386473422
2000-03-07,0.008439443292863391
2000-03-08,-0.02137718396711208
2000-03-09,-0.012062291835448713
2000-03-10,-0.02642369020501134
2000-03-13,-0.02623615660583367
2000-03-14,0.0040686871275708025
2000-03-15,0.033853418844325356
2000-03-16,-0.035738534658354304
2000-03-21,-0.0035846882601460184
2000-03-22,0.021200051394064
2000-03-23,-0.02277302466029174
2000-03-24,0.010396549504313013
2000-03-27,-0.00420502691854352
2000-03-28,0.0036149588918390485
2000-03-29,-0.006598240469208205
2000-03-30,-0.005615273544039789
2000-03-31,-0.013585027428202667
2000-04-03,0.004121822761621319
2000-04-04,-0.0694901449747517
2000-04-05,0.004586513549471372
2000-04-06,0.012755724392709
2000-04-07,0.07171616366702227
2000-04-10,0.035866807950422075
2000-04-11,0.007222566646001294
2000-04-12,-0.019665774166743644
2000-04-13,-0.04649337602812831
2000-04-17,-0.049451815757416195
2000-04-18,-0.019916178864604617
2000-04-19,-0.006962114786542184
2000-04-20,0.007615929392505105
2000-04-24,-0.019531663899975293
2000-04-25,-0.02056916426512967
2000-04-26,0.05638309610504244
2000-04-27,-0.013369542510967114
2000-04-28,-0.007304679229303557
2000-05-02,-0.051971135046745554
2000-05-03,-0.013048858224905424
2000-05-04,0.04901029596139961
2000-05-05,0.030314005287747747
2000-05-08,-0.04031917885264347
2000-05-09,0.009889747628291978
2000-05-10,-0.011171158100903078
2000-05-11,-0.04298866595752493
2000-05-12,-0.016672415775554783
2000-05-15,0.012823511069535387
2000-05-16,0.0058495285741773095
2000-05-17,0.003672954049814603
2000-05-18,-0.013913772729005403
2000-05-19,-0.01963816298128973
2000-05-22,-0.027602523659306044
2000-05-23,-0.006974858069748513
2000-05-24,0.00939235543939887
2000-05-25,0.009507241686220524
2000-05-26,0.022201739269827048
2000-05-29,0.02799231583486894
2000-05-30,0.02578086266732771
2000-05-31,0.026471353682566923
2000-06-01,-0.022782426020500623
2000-06-02,0.029836916234247557
2000-06-05,0.011049127226920863
2000-06-06,0.012209881816887425
2000-06-07,0.006048883418322326
2000-06-08,0.023281015136155547
2000-06-09,0.0024254432412120774
2000-06-12,-0.018266085059978177
2000-06-13,-0.0052068869758400416
2000-06-14,0.0018145020587618799
2000-06-15,0.006792058516196464
2000-06-16,0.02217609410136645
2000-06-19,0.014519731943410275
2000-06-20,0.005571309424520443
2000-06-21,-0.021199654966491788
2000-06-22,0.008880452835304808
2000-06-23,-0.010784478414244902
2000-06-26,-0.013958701263415252
2000-06-27,0.0018255089036611771
2000-06-28,0.010795571752733268
2000-06-29,0.015204081632653077
2000-06-30,-0.01400475759707831
2000-07-03,0.01617452173026601
2000-07-04,0.01073399097140948
2000-07-05,0.009759809435585298
2000-07-06,-0.0060614003473018485
2000-07-07,0.0005274261603376296
2000-07-10,-0.005238534528202332
2000-07-11,0.005895406219984745
2000-07-12,0.0097461394093048
2000-07-13,-0.007010793360941681
2000-07-14,-0.008439511362143604
2000-07-17,-0.019937075674780536
2000-07-18,-0.011185077552123945
2000-07-19,-0.018659011687512828
2000-07-20,-0.008079119654547884
2000-07-21,-0.018922904086504766
2000-07-24,-0.05689747718733229
2000-07-25,0.023638778220451684
2000-07-26,-0.022722218103640057
2000-07-27,0.01501991276313297
2000-07-28,-0.003176263966219506
2000-07-31,-0.0007122507122507837
2000-08-01,-0.004501631841542508
2000-08-02,0.0038060067076159942
2000-08-03,-0.007996095802988323
2000-08-04,-0.0020435193945128605
2000-08-07,-0.005877668651169898
2000-08-08,0.026548672566371723
2000-08-09,-0.00048305588585007
2000-08-10,-0.012602698985092364
2000-08-11,-0.012989457831325324
2000-08-14,0.005454892237268805
2000-08-16,0.025457166704605738
2000-08-17,-0.007436457138628838
2000-08-18,0.012412404950052025
2000-08-21,0.008983468944442352
2000-08-22,0.007991242474001181
2000-08-23,0.0035114393281203693
2000-08-24,0.0006493272248475623
2000-08-25,-0.0041097371931215765
2000-08-28,-0.008253393665158426
2000-08-29,-0.0015695149103915895
2000-08-30,0.006032024566790861
2000-08-31,0.013190886296740256
2000-09-04,0.024137436338856677
