Date,ret_cc,ret_fi
2003-01-31,0.0,0.0
2003-02-28,0.0,0.0
2003-03-31,0.0,0.0
2003-04-30,0.0,0.0
2003-05-31,0.0,0.0
2003-06-30,0.0,0.0
2003-07-31,0.0,0.0
2003-08-31,0.0,0.0
2003-09-30,0.0,0.0
2003-10-31,0.0,0.0
2003-11-30,0.0,0.0
2003-12-31,0.0,0.0
2004-01-31,0.00013990368000560416,-0.008659277679727517
2004-02-29,-0.001475751382339241,-0.00246266992478561
2004-03-31,-0.0021931053596675465,-0.003744288187522371
2004-04-30,0.004400474529876464,0.019490434364841436
2004-05-31,0.004670121497234669,-0.024696967843349404
2004-06-30,0.00469662280346661,0.011769484578926681
2004-07-31,0.008032840483751524,0.011394011743573573
2004-08-31,0.0065190450304424274,0.023700202572412232
2004-09-30,0.0044077590059505845,0.011095944365929977
2004-10-31,0.07035432256624907,0.18038946743170503
2004-11-30,-0.02603613210167588,-0.06752370588587076
2004-12-31,-0.0030135858724569253,-0.004538118246376177
2005-01-31,0.012379037346075927,0.009742543731136477
2005-02-28,-0.00990858935306238,-0.001596547637392698
2005-03-31,0.013440635974621529,0.009897415268155907
2005-04-30,0.0023932378682556266,-0.0024918785254551823
2005-05-31,-0.0032641602939726955,0.0036768949367191883
2005-06-30,-0.012421483760090668,-0.008206307511259281
2005-07-31,1.1687857345398687,1.7337986767892604
2005-08-31,-0.0003217410782783148,0.0034140702029086256
2005-09-30,0.017523600775570802,0.0713741120989313
2005-10-31,0.008449319352866969,0.018241027116281616
2005-11-30,0.0009639370853880003,0.0040029358620887745
2005-12-31,0.003403331701193668,0.024565039896454532
2006-01-31,-0.023883450508641046,-0.03327521402366629
2006-02-28,0.017986894016336352,0.03447414705605589
2006-03-31,-0.009452621430794061,-0.021280818302279236
2006-04-30,-0.02260008532173763,-0.04062700789726459
2006-05-31,0.04724239154069165,0.10007789506713394
2006-06-30,0.023929997025797567,0.04851569778268128
2006-07-31,0.026917470292826762,0.06652701151974005
2006-08-31,0.027817858071808477,0.09861384675216889
2006-09-30,0.0024856707864155947,0.011433852904463748
2006-10-31,-0.005988391183584296,-0.008151877912973116
2006-11-30,-0.011252329477641543,-0.007701307682577041
2006-12-31,0.0003479020126708754,0.002591390066146948
2007-01-31,0.01072602281338253,0.04333255259522395
2007-02-28,-0.004120742339308148,-0.00978214506226982
2007-03-31,0.006716602380772541,0.026153318027636763
2007-04-30,0.02417793111547417,0.036536894646594265
2007-05-31,0.0032540198676074272,0.017793386864765726
2007-06-30,0.007111428584218427,0.00939068724781511
2007-07-31,-0.01226426686962978,-0.026698872270758733
2007-08-31,-0.004348076688288738,-0.008053470978638955
2007-09-30,-0.015897126910982995,-0.018195409711768584
2007-10-31,-0.03536546492400494,-0.06238946035284243
2007-11-30,0.046579861759249885,0.06251298157614404
2007-12-31,0.002785807513765226,0.0075539885199127355
2008-01-31,0.04359437917821318,0.05809087774372923
2008-02-29,0.032869685208846366,0.04338905002046567
2008-03-31,0.024281120564208614,0.052484961696724675
2008-04-30,0.03199135677944143,0.07772235914251047
2008-05-31,0.0030549768231553642,0.008020658607428732
2008-06-30,-0.005707205889238232,-0.009681037106375467
2008-07-31,0.0067648005892806395,0.0066488485713809276
2008-08-31,0.007033334950892867,0.007341108986193001
2008-09-30,-0.010247248939821652,-0.015169086236655138
2008-10-31,-0.007798004226732491,-0.01314761964216593
2008-11-30,-0.004561353387737221,-0.002677091986684643
2008-12-31,0.017909356794675313,0.01570884302840203
2009-01-31,0.008604493616346298,0.001349526852356675
2009-02-28,-0.01295301191122622,-0.008472064313095995
2009-03-31,-0.004755254940906339,0.0032272547903653415
2009-04-30,0.01999207404467218,0.01717260175550961
2009-05-31,0.026493974912874085,0.038502949573778755
2009-06-30,-0.005754496013892774,-0.01641563516642086
2009-07-31,0.01097723084660629,0.011647061041104356
2009-08-31,-0.00450831067734303,0.004639566676633233
2009-09-30,-0.031086271853295377,-0.03863389227830061
2009-10-31,-0.03146241611210454,-0.034938925175458824
2009-11-30,-0.0258714400073069,-0.02804448364203993
2009-12-31,-0.006958435932675533,-0.008850596470340366
2010-01-31,0.0066001374070392416,0.018306881054104274
2010-02-28,-4.354969554565269e-05,0.00810162192127506
2010-03-31,0.0004007716931184735,0.0015261692759105383
2010-04-30,-0.002749259961013273,-0.011629340053481596
2010-05-31,0.006441094840605066,0.028445773308553912
2010-06-30,0.009637729845717091,0.03263064432615148
2010-07-31,0.006374767933946757,0.014620603499940321
2010-08-31,-0.020750804068564777,-0.02798198406296981
2010-09-30,0.008356766412535466,0.013973651440366774
2010-10-31,0.018074978820608267,0.022664992006068863
2010-11-30,-0.004024673422920788,-0.009791782204003008
2010-12-31,0.016707088451800134,0.022458748606882795
2011-01-31,0.008331815916791774,0.020558541973164868
2011-02-28,0.0038942788964901887,0.019449662441984872
2011-03-31,0.019128187586970657,0.030363608042233592
2011-04-30,-0.00023664283301039202,0.004579730429461026
2011-05-31,0.014325495385903775,0.03551458448723421
2011-06-30,-0.007598307020916906,-0.0158875069287292
2011-07-31,-0.0028335293175683063,0.0022072297501685156
2011-08-31,0.01373599023576011,0.026726640565702953
2011-09-30,-0.0041760341114849275,-0.016847154182822677
2011-10-31,0.013686154229058722,0.03309726735614138
2011-11-30,-0.00042781512298661895,0.0038642130686512566
2011-12-31,-0.014059460688956582,-0.019076094182042813
2012-01-31,0.046226867380561476,0.05912898157908719
2012-02-29,0.005935106712657401,0.005236078917770559
2012-03-31,0.001894048941056159,0.00956872447027246
