company_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
HDFC Bank,HDFCBANK.NS,PNB.NS,GRASIM.NS,GAIL.NS,GAIL.NS,DRREDDY.NS,GAIL.NS,HCLTECH.NS,HCLTECH.NS,GRASIM.NS,DLF.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,VEDL.NS,BOSCHLTD.NS,CIPLA.NS,EICHERMOT.NS,CIPLA.NS,COALINDIA.NS,LT.NS,COALINDIA.NS,CIPLA.NS,BRITANNIA.NS,BRITANNIA.NS
HDFC Ltd (merged into HDFC Bank in 2023),,BANKBARODA.NS,AMBUJACEM.NS,GRASIM.NS,GRASIM.NS,GAIL.NS,GRASIM.NS,HDFCBANK.NS,HDFCBANK.NS,HCLTECH.NS,DRREDDY.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,CIPLA.NS,VEDL.NS,COALINDIA.NS,GAIL.NS,COALINDIA.NS,DRREDDY.NS,SBIN.NS,DIVISLAB.NS,COALINDIA.NS,CIPLA.NS,CIPLA.NS
Punjab National Bank,PNB.NS,HINDUNILVR.NS,HCLTECH.NS,AMBUJACEM.NS,AMBUJACEM.NS,GRASIM.NS,AMBUJACEM.NS,HDFCBANK.NS,HDFCBANK.NS,,GAIL.NS,DLF.NS,DLF.NS,DLF.NS,COALINDIA.NS,CIPLA.NS,DRREDDY.NS,GRASIM.NS,DRREDDY.NS,EICHERMOT.NS,BAJFINANCE.NS,DRREDDY.NS,DIVISLAB.NS,COALINDIA.NS,COALINDIA.NS
Bank of Baroda,BANKBARODA.NS,ITC.NS,HDFCBANK.NS,HCLTECH.NS,HCLTECH.NS,AMBUJACEM.NS,HCLTECH.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HDFCBANK.NS,GRASIM.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DLF.NS,COALINDIA.NS,EICHERMOT.NS,HCLTECH.NS,EICHERMOT.NS,GAIL.NS,ASIANPAINT.NS,EICHERMOT.NS,DRREDDY.NS,DIVISLAB.NS,DIVISLAB.NS
Hindustan Unilever,HINDUNILVR.NS,COLPAL.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HCLTECH.NS,HDFCBANK.NS,HINDALCO.NS,HINDALCO.NS,HEROMOTOCO.NS,HCLTECH.NS,GAIL.NS,GAIL.NS,GAIL.NS,DRREDDY.NS,DLF.NS,GAIL.NS,,GAIL.NS,GRASIM.NS,HCLTECH.NS,GAIL.NS,EICHERMOT.NS,DRREDDY.NS,DRREDDY.NS
ITC,ITC.NS,NESTLEIND.NS,HEROMOTOCO.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDALCO.NS,HDFCBANK.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,GAIL.NS,DRREDDY.NS,GRASIM.NS,HDFCBANK.NS,GRASIM.NS,HCLTECH.NS,MARUTI.NS,GRASIM.NS,GRASIM.NS,EICHERMOT.NS,EICHERMOT.NS
Colgate-Palmolive,COLPAL.NS,BRITANNIA.NS,HINDALCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDPETRO.NS,ICICIBANK.NS,HINDUNILVR.NS,HDFCBANK.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,GRASIM.NS,EICHERMOT.NS,HCLTECH.NS,HEROMOTOCO.NS,HCLTECH.NS,,TITAN.NS,HCLTECH.NS,HCLTECH.NS,GRASIM.NS,GRASIM.NS
Nestlé India,NESTLEIND.NS,TATAMOTORS.NS,HINDPETRO.NS,HINDALCO.NS,HINDALCO.NS,HEROMOTOCO.NS,HINDALCO.NS,ICICIBANK.NS,INFY.NS,HDFCBANK.NS,HEROMOTOCO.NS,,HDFCBANK.NS,,HCLTECH.NS,GAIL.NS,HDFCBANK.NS,HINDALCO.NS,HDFCBANK.NS,HDFCBANK.NS,SUNPHARMA.NS,,HDFCBANK.NS,HCLTECH.NS,HCLTECH.NS
Britannia,BRITANNIA.NS,M&M.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDPETRO.NS,HINDALCO.NS,HINDUNILVR.NS,INFY.NS,ITC.NS,ICICIBANK.NS,HINDALCO.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,,GRASIM.NS,HDFCBANK.NS,HINDUNILVR.NS,HDFCBANK.NS,HEROMOTOCO.NS,AXISBANK.NS,HDFCBANK.NS,HDFCLIFE.NS,HDFCBANK.NS,HDFCBANK.NS
Tata Motors,TATAMOTORS.NS,,ICICIBANK.NS,HINDPETRO.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDPETRO.NS,ITC.NS,IOC.NS,IDFCFIRSTB.NS,HINDUNILVR.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HDFCBANK.NS,HCLTECH.NS,HEROMOTOCO.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,ULTRACEMCO.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HDFCLIFE.NS,HDFCLIFE.NS
